filename,report_title,section,sentence,label,units,predictedlabel
wasde0422.xls,WASDE - 623,OILSEEDS,A lower soybean meal export forecast is offset by slightly higher domestic disappearance.,P,by slightly higher domestic disappearance.,p
wasde0620.xls,WASDE - 601,OILSEEDS,"A notable revision to production is for EU canola, lowered 0.2 million tons to 16.8 million, based largely on lower yields for Germany.",C,"A notable revision to production is for EU canola, lowered 0.2 million tons to 16.8 million,",e
wasde0620.xls,WASDE - 601,OILSEEDS,"A notable revision to production is for EU canola, lowered 0.2 million tons to 16.8 million, based largely on lower yields for Germany.",P,based largely on lower yields for Germany.,e
wasde0225.xls,WASDE - 657,SUGAR,"A partial offset results from high-tier tariff/Other imports being increased by 22,414 STRV from Customs and Border Protection (CBP) data through the first week of February, above what was expected for the period last month.",C,"A partial offset results from high-tier tariff/Other imports being increased by 22,414 STRV from Customs and Border Protection (CBP) data through the first week of February,",e
wasde0225.xls,WASDE - 657,SUGAR,"A partial offset results from high-tier tariff/Other imports being increased by 22,414 STRV from Customs and Border Protection (CBP) data through the first week of February, above what was expected for the period last month.",E,above what was expected for the period last month.,e
wasde0722.xls,WASDE - 626,SUGAR,"A partial offset to the supply increase comes from a 150,000 STRV increase in deliveries for human consumption to 12,600,000.",C,"A partial offset to the supply increase comes from a 150,000 STRV increase in deliveries for human consumption to 12,600,000.",e
wasde0622.xls,WASDE - 625,SUGAR,"A partial offset to these decreases comes from an increase in high-tier tariff imports due to additional raw sugar imports of 13,014 STRV entering in June.",C,A partial offset to these decreases comes from an increase in high-tier tariff imports,p
wasde0622.xls,WASDE - 625,SUGAR,"A partial offset to these decreases comes from an increase in high-tier tariff imports due to additional raw sugar imports of 13,014 STRV entering in June.",P,"due to additional raw sugar imports of 13,014 STRV entering in June.",e
wasde0321.xls,WASDE - 610,SUGAR,A precise allocation is difficult to establish but this season’s slow pace of recorded deliveries is indicative of the effect.,C,A precise allocation is difficult to establish,c
wasde0321.xls,WASDE - 610,SUGAR,A precise allocation is difficult to establish but this season’s slow pace of recorded deliveries is indicative of the effect.,P,but this season’s slow pace of recorded deliveries is indicative of the effect.,e
wasde1222.xls,WASDE - 631,COTTON,"A reduction in expected world demand and trade results in a 250,000-bale decrease for U.S. cotton exports, down to 12.25 million.",P,"A reduction in expected world demand and trade results in a 250,000-bale decrease for U.S. cotton exports,",p
wasde1222.xls,WASDE - 631,COTTON,"A reduction in expected world demand and trade results in a 250,000-bale decrease for U.S. cotton exports, down to 12.25 million.",E,down to 12.25 million.,e
wasde0821.xls,WASDE - 615,WHEAT,"A series of thawing and refreezing events during February and March, referred to as “ice crusting,” resulted in reductions for both area harvested and yield for Russia’s winter wheat.",E,"A series of thawing and refreezing events during February and March, referred to as “ice crusting,”",e
wasde0821.xls,WASDE - 615,WHEAT,"A series of thawing and refreezing events during February and March, referred to as “ice crusting,” resulted in reductions for both area harvested and yield for Russia’s winter wheat.",C,resulted in reductions for both area harvested and yield for Russia’s winter wheat.,e
wasde0622.xls,WASDE - 625,COTTON,"A sharply higher percentage of U.S. upland area has been forward contracted for 2022/23 as of May 31, and futures prices for the post-harvest months remain strong.",E,"A sharply higher percentage of U.S. upland area has been forward contracted for 2022/23 as of May 31,",e
wasde0622.xls,WASDE - 625,COTTON,"A sharply higher percentage of U.S. upland area has been forward contracted for 2022/23 as of May 31, and futures prices for the post-harvest months remain strong.",E,and futures prices for the post-harvest months remain strong.,e
wasde0923.xls,WASDE - 640,SUGAR,A small reduction is made for lower cane sugar production than reported last month for Texas.,C,A small reduction is made,c
wasde0923.xls,WASDE - 640,SUGAR,A small reduction is made for lower cane sugar production than reported last month for Texas.,P,for lower cane sugar production than reported last month for Texas.,e
wasde0522.xls,NOTE:  Russia’s recent military invasion of Ukraine significantly increased the uncertainty of agricultural supply and demand conditions in the region and globally.  The May WASDE represents an ongoing assessment of the short-term impacts as a result of this action.,WHEAT,Abandonment for Winter Wheat is the highest since 2002 with the highest levels in Texas and Oklahoma.,C,Abandonment for Winter Wheat is the highest since 2002,e
wasde0522.xls,NOTE:  Russia’s recent military invasion of Ukraine significantly increased the uncertainty of agricultural supply and demand conditions in the region and globally.  The May WASDE represents an ongoing assessment of the short-term impacts as a result of this action.,WHEAT,Abandonment for Winter Wheat is the highest since 2002 with the highest levels in Texas and Oklahoma.,E,with the highest levels in Texas and Oklahoma.,e
wasde0124.xls,WASDE - 644,OILSEEDS,"Abundant early-season rainfall improved yield prospects for Argentina and Paraguay, raising production 2.0 million tons to 50.0 million and 0.3 million tons to 10.3 million, respectively.",E,"Abundant early-season rainfall improved yield prospects for Argentina and Paraguay,",e
wasde0124.xls,WASDE - 644,OILSEEDS,"Abundant early-season rainfall improved yield prospects for Argentina and Paraguay, raising production 2.0 million tons to 50.0 million and 0.3 million tons to 10.3 million, respectively.",C,"raising production 2.0 million tons to 50.0 million and 0.3 million tons to 10.3 million, respectively.",e
wasde1224v2.xls,WASDE - 655,RICE,"Accompanying these revisions is a 2.0 million cwt increase to milled-rice exports to 60.0 million, offset by an equivalent reduction to rough-rice exports to 40.0 million.",C,"Accompanying these revisions is a 2.0 million cwt increase to milled-rice exports to 60.0 million,",e
wasde1224v2.xls,WASDE - 655,RICE,"Accompanying these revisions is a 2.0 million cwt increase to milled-rice exports to 60.0 million, offset by an equivalent reduction to rough-rice exports to 40.0 million.",P,offset by an equivalent reduction to rough-rice exports to 40.0 million.,e
wasde0723.xls,WASDE - 638,COARSE GRAINS,"According to data from the National Centers for Environmental Information, harvested-area-weighted June precipitation data for the major Corn Belt states represented an extreme downward deviation from average.",E,"According to data from the National Centers for Environmental Information,",e
wasde0723.xls,WASDE - 638,COARSE GRAINS,"According to data from the National Centers for Environmental Information, harvested-area-weighted June precipitation data for the major Corn Belt states represented an extreme downward deviation from average.",E,harvested-area-weighted June precipitation data for the major Corn Belt states represented an extreme downward deviation from average.,e
wasde1022.xls,WASDE - 629,SUGAR,"Added to this amount are imports amounting to 77,437 STRV from the 2021/22 raw sugar TRQ that did not enter in September as forecast but are forecast to enter in 2022/23 after USDA extended the period for entry until December 31, 2022.",E,"Added to this amount are imports amounting to 77,437 STRV from the 2021/22 raw sugar TRQ",e
wasde1022.xls,WASDE - 629,SUGAR,"Added to this amount are imports amounting to 77,437 STRV from the 2021/22 raw sugar TRQ that did not enter in September as forecast but are forecast to enter in 2022/23 after USDA extended the period for entry until December 31, 2022.",E,that did not enter in September as forecast,e
wasde1022.xls,WASDE - 629,SUGAR,"Added to this amount are imports amounting to 77,437 STRV from the 2021/22 raw sugar TRQ that did not enter in September as forecast but are forecast to enter in 2022/23 after USDA extended the period for entry until December 31, 2022.",C,but are forecast to enter in 2022/23,e
wasde1022.xls,WASDE - 629,SUGAR,"Added to this amount are imports amounting to 77,437 STRV from the 2021/22 raw sugar TRQ that did not enter in September as forecast but are forecast to enter in 2022/23 after USDA extended the period for entry until December 31, 2022.",E,"after USDA extended the period for entry until December 31, 2022.",e
wasde1220.xls,WASDE - 607,SUGAR,"Additional sugar not recorded for October sourced from Australia, Brazil, and several other countries was determined to have entered.",E,"Additional sugar not recorded for October sourced from Australia, Brazil, and several other countries",e
wasde1220.xls,WASDE - 607,SUGAR,"Additional sugar not recorded for October sourced from Australia, Brazil, and several other countries was determined to have entered.",E,was determined to have entered.,e
wasde0420.xls,WASDE - 599,RICE,"Additionally, India’s exports are lowered 0.3 million tons to 10.2 million as the current country-wide quarantine is expected to affect export activity.",C,"Additionally, India’s exports are lowered 0.3 million tons to 10.2 million",e
wasde0420.xls,WASDE - 599,RICE,"Additionally, India’s exports are lowered 0.3 million tons to 10.2 million as the current country-wide quarantine is expected to affect export activity.",P,as the current country-wide quarantine is expected to affect export activity.,p
wasde1221.xls,WASDE - 619,WHEAT,"Additionally, U.S. export prices are expected to remain elevated the rest of 2021/22, further diminishing U.S. competitiveness.",C,"Additionally, U.S. export prices are expected to remain elevated the rest of 2021/22,",e
wasde1221.xls,WASDE - 619,WHEAT,"Additionally, U.S. export prices are expected to remain elevated the rest of 2021/22, further diminishing U.S. competitiveness.",P,further diminishing U.S. competitiveness.,c
wasde0522.xls,NOTE:  Russia’s recent military invasion of Ukraine significantly increased the uncertainty of agricultural supply and demand conditions in the region and globally.  The May WASDE represents an ongoing assessment of the short-term impacts as a result of this action.,"LIVESTOCK, POULTRY, AND DAIRY","Additionally, cow slaughter is forecast higher.",C,"Additionally, cow slaughter is forecast higher.",e
wasde0221.xls,WASDE - 609,WHEAT,"Additionally, increased auction volumes of old-crop stocks in China have expanded the availability of feed-quality wheat.",E,"Additionally, increased auction volumes of old-crop stocks in China",e
wasde0221.xls,WASDE - 609,WHEAT,"Additionally, increased auction volumes of old-crop stocks in China have expanded the availability of feed-quality wheat.",E,have expanded the availability of feed-quality wheat.,e
wasde0225.xls,WASDE - 657,"LIVESTOCK, POULTRY, AND DAIRY","Additionally, the USDA’s January Cattle report estimated a larger calf crop for 2024 and a smaller decline in cattle outside feedlots than previously expected.",E,"Additionally, the USDA’s January Cattle report estimated a larger calf crop for 2024",e
wasde0225.xls,WASDE - 657,"LIVESTOCK, POULTRY, AND DAIRY","Additionally, the USDA’s January Cattle report estimated a larger calf crop for 2024 and a smaller decline in cattle outside feedlots than previously expected.",E,and a smaller decline in cattle outside feedlots than previously expected.,e
wasde0921.xls,WASDE - 616,SUGAR,Adjustments made for expected August-September production in 2021 and 2022 plus sugar from imported sugarbeets from Canada yields the fiscal year 2021/22 production projection.,E,Adjustments made for expected August-September production in 2021 and 2022,e
wasde0921.xls,WASDE - 616,SUGAR,Adjustments made for expected August-September production in 2021 and 2022 plus sugar from imported sugarbeets from Canada yields the fiscal year 2021/22 production projection.,P,plus sugar from imported sugarbeets from Canada,e
wasde0921.xls,WASDE - 616,SUGAR,Adjustments made for expected August-September production in 2021 and 2022 plus sugar from imported sugarbeets from Canada yields the fiscal year 2021/22 production projection.,C,yields the fiscal year 2021/22 production projection.,p
wasde0224.xls,WASDE - 645,SUGAR,"Adoption of beet sugar processors’ estimates of beet pile shrink published in the February Sweetener Market Data (SMD) reduces production by 79,297 STRV to 5.327 million.",C,"Adoption of beet sugar processors’ estimates of beet pile shrink published in the February Sweetener Market Data (SMD) reduces production by 79,297 STRV",e
wasde0224.xls,WASDE - 645,SUGAR,"Adoption of beet sugar processors’ estimates of beet pile shrink published in the February Sweetener Market Data (SMD) reduces production by 79,297 STRV to 5.327 million.",E,to 5.327 million.,e
wasde0425v2.xls,WASDE - 659,OILSEEDS,"After a review of 2024 disappearance data, Brazil’s 2023/24 production is raised 1.5 million tons to 154.5 million.",P,"After a review of 2024 disappearance data,",e
wasde0425v2.xls,WASDE - 659,OILSEEDS,"After a review of 2024 disappearance data, Brazil’s 2023/24 production is raised 1.5 million tons to 154.5 million.",C,Brazil’s 2023/24 production is raised 1.5 million tons to 154.5 million.,e
wasde1220.xls,WASDE - 607,SUGAR,"After the publication of USDA’s Sweetener Market Data this month, FAS resolved certain anomalies in Customs reporting for TRQ entries.",P,"After the publication of USDA’s Sweetener Market Data this month,",e
wasde1220.xls,WASDE - 607,SUGAR,"After the publication of USDA’s Sweetener Market Data this month, FAS resolved certain anomalies in Customs reporting for TRQ entries.",C,FAS resolved certain anomalies in Customs reporting for TRQ entries.,e
wasde0523.xls,WASDE - 636,WHEAT,"After three consecutive record crops, production in Australia is forecast to decrease substantially as yields revert to average.",E,"After three consecutive record crops,",e
wasde0523.xls,WASDE - 636,WHEAT,"After three consecutive record crops, production in Australia is forecast to decrease substantially as yields revert to average.",C,production in Australia is forecast to decrease substantially,c
wasde0523.xls,WASDE - 636,WHEAT,"After three consecutive record crops, production in Australia is forecast to decrease substantially as yields revert to average.",P,as yields revert to average.,p
wasde0420.xls,WASDE - 599,WHEAT,Aggregate world consumption is lowered 5.1 million tons following updates to several countries.,C,Aggregate world consumption is lowered 5.1 million tons,e
wasde0420.xls,WASDE - 599,WHEAT,Aggregate world consumption is lowered 5.1 million tons following updates to several countries.,P,following updates to several countries.,e
wasde0723.xls,WASDE - 638,SUGAR,All beet slicing is complete except for the ongoing campaign in California.,C,All beet slicing is complete,c
wasde0723.xls,WASDE - 638,SUGAR,All beet slicing is complete except for the ongoing campaign in California.,P,except for the ongoing campaign in California.,e
wasde0721.xls,WASDE - 614,SUGAR,"All changes for 2020/21 imply an additional 21,522 STRV in ending stocks for a stocks-to-use ratio of 14.49 percent.",C,"All changes for 2020/21 imply an additional 21,522 STRV in ending stocks",e
wasde0721.xls,WASDE - 614,SUGAR,"All changes for 2020/21 imply an additional 21,522 STRV in ending stocks for a stocks-to-use ratio of 14.49 percent.",E,for a stocks-to-use ratio of 14.49 percent.,e
wasde0623.xls,WASDE - 637,SUGAR,All exports are projected to go to the United States under license.,C,All exports are projected to go to the United States under license.,e
wasde0421.xls,WASDE - 613,RICE,All of the 2021/22 changes are the result of 2020/21 trade revisions.,C,All of the 2021/22 changes are the result of 2020/21 trade revisions.,c
wasde0125.xls,WASDE - 656,SUGAR,All of the change is for exports not under license.,C,All of the change is for exports,c
wasde0125.xls,WASDE - 656,SUGAR,All of the change is for exports not under license.,P,not under license.,e
wasde0620.xls,WASDE - 601,RICE,"All of the increase in 2019/20 imports is for long-grain, based on a record import pace to date, primarily aromatics from Thailand.",C,"All of the increase in 2019/20 imports is for long-grain,",c
wasde0620.xls,WASDE - 601,RICE,"All of the increase in 2019/20 imports is for long-grain, based on a record import pace to date, primarily aromatics from Thailand.",E,"based on a record import pace to date,",e
wasde0620.xls,WASDE - 601,RICE,"All of the increase in 2019/20 imports is for long-grain, based on a record import pace to date, primarily aromatics from Thailand.",E,primarily aromatics from Thailand.,e
wasde0722.xls,WASDE - 626,SUGAR,All of this sugar is projected to enter in 2021/22.,C,All of this sugar is projected to enter in 2021/22.,e
wasde0421.xls,WASDE - 613,RICE,"All rice 2020/21 exports are raised 1.0 million cwt to 92.0 million, primarily on increased export sales and shipments to Venezuela.",C,"All rice 2020/21 exports are raised 1.0 million cwt to 92.0 million,",e
wasde0421.xls,WASDE - 613,RICE,"All rice 2020/21 exports are raised 1.0 million cwt to 92.0 million, primarily on increased export sales and shipments to Venezuela.",P,primarily on increased export sales and shipments to Venezuela.,p
wasde0421.xls,WASDE - 613,RICE,All rice 2020/21 imports are lowered 1.0 million cwt to 34.7 million on reduced volumes from Asia in recent months.,C,All rice 2020/21 imports are lowered 1.0 million cwt to 34.7 million,e
wasde0421.xls,WASDE - 613,RICE,All rice 2020/21 imports are lowered 1.0 million cwt to 34.7 million on reduced volumes from Asia in recent months.,P,on reduced volumes from Asia in recent months.,e
wasde0121.xls,WASDE - 608,RICE,"All rice 2020/21 production is 227.6 cwt, up 1.5 million from the previous estimate.",C,"All rice 2020/21 production is 227.6 cwt,",e
wasde0121.xls,WASDE - 608,RICE,"All rice 2020/21 production is 227.6 cwt, up 1.5 million from the previous estimate.",E,up 1.5 million from the previous estimate.,e
wasde0622.xls,WASDE - 625,RICE,All rice 2021/22 domestic and residual use is increased by 1.0 million cwt to 148.5 million as the increase in imports is expected to raise consumption by an equivalent amount.,C,All rice 2021/22 domestic and residual use is increased by 1.0 million cwt to 148.5 million,e
wasde0622.xls,WASDE - 625,RICE,All rice 2021/22 domestic and residual use is increased by 1.0 million cwt to 148.5 million as the increase in imports is expected to raise consumption by an equivalent amount.,P,as the increase in imports is expected to raise consumption by an equivalent amount.,p
wasde0521.xls,WASDE - 612,RICE,"All rice 2021/22 ending stocks are projected at 41.0 million cwt, down 4 percent from last year.",C,"All rice 2021/22 ending stocks are projected at 41.0 million cwt,",e
wasde0521.xls,WASDE - 612,RICE,"All rice 2021/22 ending stocks are projected at 41.0 million cwt, down 4 percent from last year.",E,down 4 percent from last year.,e
wasde0622.xls,WASDE - 625,RICE,All rice 2021/22 exports are lowered 1.0 million cwt to 84.0 million (all long-grain) on a recent extremely slow pace of sales as U.S. rice prices are increasingly uncompetitive.,C,All rice 2021/22 exports are lowered 1.0 million cwt to 84.0 million (all long-grain),e
wasde0622.xls,WASDE - 625,RICE,All rice 2021/22 exports are lowered 1.0 million cwt to 84.0 million (all long-grain) on a recent extremely slow pace of sales as U.S. rice prices are increasingly uncompetitive.,P,on a recent extremely slow pace of sales,e
wasde0622.xls,WASDE - 625,RICE,All rice 2021/22 exports are lowered 1.0 million cwt to 84.0 million (all long-grain) on a recent extremely slow pace of sales as U.S. rice prices are increasingly uncompetitive.,P,as U.S. rice prices are increasingly uncompetitive.,p
wasde0122.xls,WASDE - 620,RICE,"All rice 2021/22 production is estimated at 191.8 million cwt, down 2.0 million from the previous estimate.",C,"All rice 2021/22 production is estimated at 191.8 million cwt,",e
wasde0122.xls,WASDE - 620,RICE,"All rice 2021/22 production is estimated at 191.8 million cwt, down 2.0 million from the previous estimate.",E,down 2.0 million from the previous estimate.,e
wasde0522.xls,NOTE:  Russia’s recent military invasion of Ukraine significantly increased the uncertainty of agricultural supply and demand conditions in the region and globally.  The May WASDE represents an ongoing assessment of the short-term impacts as a result of this action.,RICE,"All rice 2022/23 ending stocks are projected at 33.2 million cwt, down 11 percent from last year.",C,"All rice 2022/23 ending stocks are projected at 33.2 million cwt,",e
wasde0522.xls,NOTE:  Russia’s recent military invasion of Ukraine significantly increased the uncertainty of agricultural supply and demand conditions in the region and globally.  The May WASDE represents an ongoing assessment of the short-term impacts as a result of this action.,RICE,"All rice 2022/23 ending stocks are projected at 33.2 million cwt, down 11 percent from last year.",E,down 11 percent from last year.,e
wasde0923.xls,WASDE - 640,RICE,All rice 2023/24 ending stocks are projected 12.0 million cwt higher at 43.2 million.,C,All rice 2023/24 ending stocks are projected 12.0 million cwt higher,e
wasde0923.xls,WASDE - 640,RICE,All rice 2023/24 ending stocks are projected 12.0 million cwt higher at 43.2 million.,E,at 43.2 million.,e
wasde0523.xls,WASDE - 636,RICE,"All rice 2023/24 ending stocks are projected at 31.3 million cwt, up 13 percent from last year.",C,"All rice 2023/24 ending stocks are projected at 31.3 million cwt,",e
wasde0523.xls,WASDE - 636,RICE,"All rice 2023/24 ending stocks are projected at 31.3 million cwt, up 13 percent from last year.",E,up 13 percent from last year.,e
wasde0723.xls,WASDE - 638,RICE,All rice 2023/24 ending stocks are projected lower at 29.6 million cwt but still up 16 percent from 2022/23.,C,All rice 2023/24 ending stocks are projected lower at 29.6 million cwt,e
wasde0723.xls,WASDE - 638,RICE,All rice 2023/24 ending stocks are projected lower at 29.6 million cwt but still up 16 percent from 2022/23.,E,but still up 16 percent from 2022/23.,e
wasde0924.xls,WASDE - 652,RICE,All rice 2024/25 ending stocks are projected 2.0 million cwt higher at 45.6 million.,C,All rice 2024/25 ending stocks are projected 2.0 million cwt higher,e
wasde0924.xls,WASDE - 652,RICE,All rice 2024/25 ending stocks are projected 2.0 million cwt higher at 45.6 million.,E,at 45.6 million.,e
wasde0524.xls,WASDE - 648,RICE,"All rice 2024/25 ending stocks are projected at 45.5 million cwt, up 12 percent from 2023/24.",C,"All rice 2024/25 ending stocks are projected at 45.5 million cwt,",e
wasde0524.xls,WASDE - 648,RICE,"All rice 2024/25 ending stocks are projected at 45.5 million cwt, up 12 percent from 2023/24.",E,up 12 percent from 2023/24.,e
wasde0122.xls,WASDE - 620,RICE,All rice domestic and residual use is lowered 2.0 million cwt to 145.5 million on reduced production and imports.,C,All rice domestic and residual use is lowered 2.0 million cwt to 145.5 million,c
wasde0122.xls,WASDE - 620,RICE,All rice domestic and residual use is lowered 2.0 million cwt to 145.5 million on reduced production and imports.,P,on reduced production and imports.,p
wasde0121.xls,WASDE - 608,RICE,All rice domestic and residual use is raised 14.5 million cwt to 160.0 million on higher-than-expected usage for August-November as implied by the NASS Rice Stocks report.,C,All rice domestic and residual use is raised 14.5 million cwt to 160.0 million,c
wasde0121.xls,WASDE - 608,RICE,All rice domestic and residual use is raised 14.5 million cwt to 160.0 million on higher-than-expected usage for August-November as implied by the NASS Rice Stocks report.,P,on higher-than-expected usage for August-November,e
wasde0121.xls,WASDE - 608,RICE,All rice domestic and residual use is raised 14.5 million cwt to 160.0 million on higher-than-expected usage for August-November as implied by the NASS Rice Stocks report.,E,as implied by the NASS Rice Stocks report.,e
wasde0120.xls,WASDE - 596,RICE,All rice domestic and residual use is raised 2.0 million cwt on higher-than-expected usage for August-November as implied by the NASS Rice Stocks report.,C,All rice domestic and residual use is raised 2.0 million cwt,c
wasde0120.xls,WASDE - 596,RICE,All rice domestic and residual use is raised 2.0 million cwt on higher-than-expected usage for August-November as implied by the NASS Rice Stocks report.,E,on higher-than-expected usage for August-November,e
wasde0120.xls,WASDE - 596,RICE,All rice domestic and residual use is raised 2.0 million cwt on higher-than-expected usage for August-November as implied by the NASS Rice Stocks report.,E,as implied by the NASS Rice Stocks report.,e
wasde0123.xls,WASDE - 632,RICE,All rice domestic and residual use is raised 5.0 million cwt to 147.0 million on higher implied usage for August-November as indicated by the NASS Rice Stocks report.,C,All rice domestic and residual use is raised 5.0 million cwt to 147.0 million,c
wasde0123.xls,WASDE - 632,RICE,All rice domestic and residual use is raised 5.0 million cwt to 147.0 million on higher implied usage for August-November as indicated by the NASS Rice Stocks report.,P,on higher implied usage for August-November,e
wasde0123.xls,WASDE - 632,RICE,All rice domestic and residual use is raised 5.0 million cwt to 147.0 million on higher implied usage for August-November as indicated by the NASS Rice Stocks report.,E,as indicated by the NASS Rice Stocks report.,e
wasde0921.xls,WASDE - 616,RICE,"All rice ending stocks are decreased by 3.1 million cwt to 34.2 million, down 22 percent from last year.",C,"All rice ending stocks are decreased by 3.1 million cwt to 34.2 million,",e
wasde0921.xls,WASDE - 616,RICE,"All rice ending stocks are decreased by 3.1 million cwt to 34.2 million, down 22 percent from last year.",E,down 22 percent from last year.,e
wasde0922.xls,WASDE - 628,RICE,"All rice ending stocks are decreased by 5.6 million cwt to 30.9 million, down 22 percent from last year.",C,"All rice ending stocks are decreased by 5.6 million cwt to 30.9 million,",e
wasde0922.xls,WASDE - 628,RICE,"All rice ending stocks are decreased by 5.6 million cwt to 30.9 million, down 22 percent from last year.",E,down 22 percent from last year.,e
wasde1124.xls,WASDE - 654,RICE,"All rice ending stocks are increased 1.0 million cwt to 46.7 million, up 19 percent from last year.",C,"All rice ending stocks are increased 1.0 million cwt to 46.7 million,",e
wasde1124.xls,WASDE - 654,RICE,"All rice ending stocks are increased 1.0 million cwt to 46.7 million, up 19 percent from last year.",E,up 19 percent from last year.,e
wasde1122.xls,WASDE - 630,RICE,All rice ending stocks are raised 2.9 million cwt to 36.1 million but are still down 9 percent from last year.,C,All rice ending stocks are raised 2.9 million cwt to 36.1 million,e
wasde1122.xls,WASDE - 630,RICE,All rice ending stocks are raised 2.9 million cwt to 36.1 million but are still down 9 percent from last year.,E,but are still down 9 percent from last year.,e
